Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
11, bought pay go phone th june trouble turning returned repairapparently corrosion returning without repairing even tjough phone weeks old dropped sink something claimed insurance expected better service wife spend k ayear appalling way treat customers ,1,3,2,2,2,1,1,2,3,2,-1.3,Negative,30-Jul-18,Monday,Jul-18,,,,,,,,,,,,,,,,,,,
12, contacted cancel contract come end agent tried keeping line hold said hold cancellation went explained keep holding verbally cancelling contract never put agents using tatics obtain additional payments received bill another months payment phoned say alrady cancelled agent refused speak becauce says never waited line long enough first time illegal practice reporting company regulator regarding practice ,1,2,1,1,0,3,0,0,4,2,-3.2,Negative,27-Jul-18,Friday,Jul-18,,,,,,,,,,,,,,,,,,,
13, mobile sold iphone se january month contract lousiest phone ever normal use months charge properly sent item back warranty came back said dirt receiver voided warranty load crap sent repair charging socket deliberately found problem voided warranty told pay new set still pay months first set mobile customer service always nonservice considering new mobile phone please please never ever think going unless thinking getting sim service years ago motorola razr also issues software time motorola razr months said particular model months warranty although month contract previously told bought damn device customer service proceeded provide advice telephone told clear several caches much motorola razr even boot avoided thereafter told fix warranty expired resulted continue months payment damn motorola razr contract phone used wanted give mobile benefit doubt since motorola razr years ago iphone se longer supportive mobile therefore giving one star rating give zero stars trust ,2,5,3,3,3,3,0,9,8,10,3.25,Positive,10-Jul-18,Tuesday,Jul-18,,,,,,,,,,,,,,,,,,,
14, found phone reception often bad compared mobile providers motorola phones bought turned faulty later stage much help ,1,1,1,1,1,1,0,1,2,1,-0.65,Negative,23-Jun-18,Saturday,Jun-18,,,,,,,,,,,,,,,,,,,
15, imbociles customer services mobile protect renege terms conditions preach told several customer service reps never read ,0,1,0,0,0,0,0,0,0,2,0.75,Positive,10-Jun-18,Sunday,Jun-18,,,,,,,,,,,,,,,,,,,
16, earlier comments reviews see feeling badly let tescomobile must contact facebroke twits use help offered programed say ,1,1,1,1,1,2,1,1,2,2,-0.1,Negative,27-Apr-18,Friday,Apr-18,,,,,,,,,,,,,,,,,,,
17, definitely vile customer service experience ever possible give kevin opola current manager s customer service missus star give left wondering gave managers position within company clear imbecile brings personal problems work takes s customers capable listening problem customers may experiencing even make effort try help resolve matter minute comes phone shouts talks bully give man anywhere near customer service desk never mind manager serious psychological problems needs attend anger management well management help behaviour ,2,1,0,2,1,1,0,3,3,4,-0.4,Negative,27-Mar-18,Tuesday,Mar-18,,,,,,,,,,,,,,,,,,,
18, visit obtain new sim card open area phone shop customers around asked personal details order access account point expected give details nonuk resident similar many people use access bank account addition noted also use electronic equipment obtain signatures three items information access identity theft becomes much easier need review systems ensure protect customers identity theft ,1,1,1,1,0,1,0,3,1,5,4.05,Positive,15-Mar-18,Thursday,Mar-18,,,,,,,,,,,,,,,,,,,
19, one best companies customer satisfaction delivery phone service quick efficient assured best customer experience matter needs taken step ,0,2,0,0,0,0,0,2,0,4,2.65,Positive,05-Oct-17,Thursday,Oct-17,,,,,,,,,,,,,,,,,,,
20, decided monthly account instead pay go one since found latter absolute scam little problem monthly pay contract credit card want requested pac number switch different company tescomobile sent pac number also needed unlock pin number finished paying handset one month sent pin number work complaint told take days new one wrote back say unacceptable review since ignored emails wrote two days ago fourteen days days email response imagine buy car give keys ask tell days absolutely amazing course unlocked spending quid know every little countstwo days later finally contacted probably due first review see things getting surrealistic since now claim problem live uk trying use british provider well know cambridge cambridgeshire left uk recently giffgaff british anymore see happens next days three days later send four unlocking codes none workedkeep waiting meantime asked jiggy bag something use send device mobiles free charge unlock handset return ordered jiggy bag guess absolutely unable handle professional way keep postedfinally last friday decided call working hours course pic phone working left message call us back fix problem call back waste time precious fix mobile device asked compensation thing want give valid code unlock handset see incapable company absolute crap go communications company impossible find something worse mobiles ,1,5,3,2,4,5,3,6,8,8,-1.9,Negative,16-Aug-17,Wednesday,Aug-17,,,,,,,,,,,,,,,,,,,
21, good value cant fault great signal ,0,1,0,0,1,1,1,1,1,1,0.75,Positive,03-Aug-17,Thursday,Aug-17,,,,,,,,,,,,,,,,,,,
22, great signal travel lot work signal mostly great really good price minutes ever use great phone use ,0,1,0,0,1,0,1,1,0,1,1.5,Positive,06-Jun-17,Tuesday,Jun-17,,,,,,,,,,,,,,,,,,,
23, recommended swap mobile provider went reading kings meadows easy sign asked ok transfer contacts microsoft lumia yes wrong went back advised possibleven back ask couple questions poor knowledge appear care g service worse g previous supplier known hassle lack sevice wouldnt bothered ,0,1,0,1,0,1,0,1,3,2,0.05,Positive,05-Jun-17,Monday,Jun-17,,,,,,,,,,,,,,,,,,,
24, brilliant customer service always helpful store well ,0,2,0,0,2,0,0,2,0,4,2.55,Positive,31-May-17,Wednesday,May-17,,,,,,,,,,,,,,,,,,,
25, otherwise boycott aldi better quality food nonbrand drink albeit limited range troubles one iota spot generally much better service happier people etcs mobile operations remain high standard however feels like separate entity subliminally disfunctional main business model called magazine supported view mobile arm time like done several years treacherously look others offer came back nothing offer think retailgeneral side rubbish dislike cynicism behind approach years shown various ways treat shoplifters staff public meanness towards vouchers price reduction shelf life reduces mobile shops top dollar well done leastevery little helps ,3,5,3,1,2,2,1,3,5,8,-0.25,Negative,16-Apr-17,Sunday,Apr-17,,,,,,,,,,,,,,,,,,,
26, weeks ago mast went weeks later came back still phone signal calls texts voicemail reported weeks ago two texts saying fixed garbled voicemail last week something booster nearby call last monday nothing heard went store today called customer services told fixed asked speak network team told speak days asked speak manager refused help came back mins later say call back within hour landline surprised hours later nothing one called travel mile away make calls pick voicemail s paying something fit purpose ,0,3,0,0,0,1,1,3,2,3,-0.35,Negative,23-Mar-17,Thursday,Mar-17,,,,,,,,,,,,,,,,,,,
27, good customer service ,0,1,0,0,1,0,1,1,0,2,0.75,Positive,22-Mar-17,Wednesday,Mar-17,,,,,,,,,,,,,,,,,,,
28, short far pleased service problems connection g great mobile bill clear concise never pay wanted brand new number able change within hours best customer service excellent pleased far ,0,2,0,1,3,0,0,2,0,4,4.45,Positive,11-Mar-17,Saturday,Mar-17,,,,,,,,,,,,,,,,,,,
29, mobile months now signed second phone sonmust say deal fantastic value plan suits ground im heavy data usersmashes previous contract three network price find mobile piggy back o network g area outstandingtwelve hours day pc internet tetherd via phone quick neededwhilst outcome different part country might vary bang flawless service ,1,4,1,1,1,1,2,2,1,2,1.35,Positive,03-Mar-17,Friday,Mar-17,,,,,,,,,,,,,,,,,,,
30, using internet hopeless even london g gps even g menu date mobile phone latest software mobile internet works good wifi hotels wifi works network hopeless ,0,3,0,1,1,1,1,1,1,1,0,Neutral,22-Oct-16,Saturday,Oct-16,,,,,,,,,,,,,,,,,,,
